Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Trusty Steed,Cornucopia,Action - Prize,,"Choose two: +2 Cards; or +2 Actions; or +; or gain 4 Silvers and put your deck into your discard pile. The choices must be different.
(This is not in the Supply.)",+2?,+2?,,+?,,,,4?,
Young Witch,Cornucopia,Action - Attack,,"+2 Cards
Discard 2 cards. Each other player gains a Curse unless they reveal a Bane from their hand.Setup: Add an extra Kingdom card pile costing or to the Supply. Its cards are Banes.",,"+2, -2",,,,,1?,,
Abandoned Mine,Dark Ages,Action - Ruins,,+,,,,+,,,,,
Altar,Dark Ages,Action,,Trash a card from your hand. Gain a card costing up to .,,,,,1,,,1,
Armory,Dark Ages,Action,,Gain a card onto your deck costing up to .,,,,,,,,1,
Band of Misfits,Dark Ages,Action - Command,,"Play a non-Command Action card from the Supply that costs less than this, leaving it there.",,,,,,,,,
Bandit Camp,Dark Ages,Action,,"+1 Card
+2 Actions
Gain a Spoils from the Spoils pile.",+2,+1,,,,,,1,
Beggar,Dark Ages,Action - Reaction,,"Gain 3 Coppers to your hand.When another player plays an Attack card, you may first discard this to gain 2 Silvers, putting one onto your deck.",,,,(+?),,,3 Self,"3
*2",
Catacombs,Dark Ages,Action,,"Look at the top 3 cards of your deck. Choose one: Put them into your hand; or discard them and +3 Cards.When you trash this, gain a cheaper card.",,+3,,,,,,,
Count,Dark Ages,Action,,"Choose one: Discard 2 cards; or put a card from your hand onto your deck; or gain a Copper.
Choose one: +; or trash your hand; or gain a Duchy.",,"-1?, -2?",,+?,X?,,Self?,"1?, 1?",(+3??)
Counterfeit,Dark Ages,Treasure,,"+1 Buy
You may play a non-Duration Treasure from your hand twice. Trash it.",,,+1,+,1?,,,,
Cultist,Dark Ages,Action - Attack - Looter,,"+2 Cards. Each other player gains a Ruins. You may play a Cultist from your hand.When you trash this, +3 Cards.",P1?,+2,,,,,1,,
Dame Anna,Dark Ages,Action - Attack - Knight,,"You may trash up to 2 cards from your hand. 
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,"0-2, Self?",,,,
Dame Josephine,Dark Ages,Action - Attack - Victory - Knight,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.2",,,,,Self?,,,,2
Dame Molly,Dark Ages,Action - Attack - Knight,,"+2 Actions
Each other player discards the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",+2,,,,Self?,,,,
Dame Natalie,Dark Ages,Action - Attack - Knight,,"You may gain a card costing up to . 
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,Self?,,,1?,
Dame Sylvia,Dark Ages,Action - Attack - Knight,,"+
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,+,Self?,,,,
Death Cart,Dark Ages,Action - Looter,,"You may trash this or an Action card from your hand, for +.When you gain this, gain 2 Ruins.",,,,+,1 or Self?,,,,
Feodum,Dark Ages,Victory,,"Worth 1? per 3 Silvers you have (round down).When you trash this, gain 3 Silvers.",,,,,,,,*3,X
Forager,Dark Ages,Action,,"+1 Action
+1 Buy
Trash a card from your hand, then + per differently named Treasure in the trash.",+1,,+1,+,1,,,,
Fortress,Dark Ages,Action,,"+1 Card
+2 ActionsWhen you trash this, put it into your hand.",+2,"+1
*+Self",,,,,,,
Graverobber,Dark Ages,Action,,"Choose one: Gain a card from the trash costing from to , onto your deck; or trash an Action card from your hand and gain a card costing up to more than it.",,,,,1?,,,1,
Hermit,Dark Ages,Action,,"Look through your discard pile. You may trash a non-Treasure from it or from your hand.
Gain a card costing up to .
At the end of your Buy phase this turn, if you didn't gain any cards in it, exchange this for a Madman.",,,,,"1?, *Self?",,,"1, 1?",
Hovel,Dark Ages,Reaction - Shelter,,"When you gain a Victory card, you may trash this from your hand.",,,,,,,,,
Hunting Grounds,Dark Ages,Action,,"+4 CardsWhen you trash this, gain a Duchy or 3 Estates.",,+4,,,,,,,*(+3?)
Ironmonger,Dark Ages,Action,,"+1 Card
+1 Action
Reveal the top card of your deck; you may discard it. Either way, if it is an…
Action card, +1 Action
Treasure card, +
Victory card, +1 Card","+1, +1?","+1, +1?",,+?,,,,,
Junk Dealer,Dark Ages,Action,,"+1 Card
+1 Action
+.
Trash a card from your hand.",+1,+1,,+,1,,,,
Madman,Dark Ages,Action,,"+2 Actions
Return this to the Madman pile. If you do, +1 Card per card in your hand.
(This is not in the Supply.)",+2,+X,,,Self,,,,
Marauder,Dark Ages,Action - Attack - Looter,,Gain a Spoils from the Spoils pile. Each other player gains a Ruins.,,,,,,,1,1,
Market Square,Dark Ages,Action - Reaction,,"+1 Card
+1 Action
+1 BuyWhen one of your cards is trashed, you may discard this from your hand to gain a Gold.",+1,+1,+1,,,,,,
Mercenary,Dark Ages,Action - Attack,,"You may trash 2 cards from your hand. If you did, +2 Cards, +, and each other player discards down to 3 cards in hand.
(This is not in the Supply.)",,+2?,,+?,2?,,,,
Mystic,Dark Ages,Action,,"+1 Action
+
Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",+1,+1?,,+,,,,,
Necropolis,Dark Ages,Action - Shelter,,+2 Actions,+2,,,,,,,,
Overgrown Estate,Dark Ages,Victory - Shelter,,"0?When you trash this, +1 Card.",,*+1,,,,,,,
Pillage,Dark Ages,Action - Attack,,"Trash this. If you did, gain 2 Spoils, and each other player with 5 or more cards in hand reveals their hand and discards a card that you choose.",,,,,Self,,,2,
Poor House,Dark Ages,Action,,"+
Reveal your hand. – per Treasure card in your hand. (You can't go below .)",,,,"+, -",,,,,
Procession,Dark Ages,Action,,You may play a non-Duration Action card from your hand twice. Trash it. Gain an Action card costing exactly more than it.,P2,,,,1?,,,1,
Rats,Dark Ages,Action,,"+1 Card
+1 Action
Gain a Rats. Trash a card from your hand other than a Rats (or reveal a hand of all Rats).When you trash this, +1 Card.",+1,"+1
*1",,,1,,,1,
Rebuild,Dark Ages,Action,,"+1 Action
 Name a card. Reveal cards from your deck until you reveal a Victory card you did not name. Discard the rest, trash the Victory card, and gain a Victory card costing up to more than it.",+1,,,,1?,,,1?,
Rogue,Dark Ages,Action - Attack,,"+
If there are any cards in the trash costing from to , gain one of them. Otherwise, each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest.",,,,+,,,,1?,
Ruined Library,Dark Ages,Action - Ruins,,+1 Card,,+1,,,,,,,
Ruined Market,Dark Ages,Action - Ruins,,+1 Buy,,,+1,,,,,,
Ruined Village,Dark Ages,Action - Ruins,,+1 Action,+1,,,,,,,,
Sage,Dark Ages,Action,,"+1 Action
Reveal cards from the top of your deck until you reveal one costing or more. Put that card into your hand and discard the rest.",+1,+1,,,,,,,
Scavenger,Dark Ages,Action,,"+
You may put your deck into your discard pile. Look through your discard pile and put one card from it onto your deck.",,,,+,,,,,
Sir Bailey,Dark Ages,Action - Attack - Knight,,"+1 Card
+1 Action
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",+1,+1,,,Self?,,,,
Sir Destry,Dark Ages,Action - Attack - Knight,,"+2 Cards
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,+2,,,Self?,,,,
Sir Martin,Dark Ages,Action - Attack - Knight,,"+2 Buys
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,+2,,Self?,,,,
Sir Michael,Dark Ages,Action - Attack - Knight,,"Each other player discards down to 3 cards in hand. 
Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,Self?,,,,
Sir Vander,Dark Ages,Action - Attack - Knight,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.When you trash this, gain a Gold.",,,,,Self?,,,*1,
Spoils,Dark Ages,Treasure,,"When you play this, return it to the Spoils pile.
(This is not in the Supply.)",,,,+,Self,,,,
Squire,Dark Ages,Action,,"+
Choose one: +2 Actions; or +2 Buys; or gain a Silver.When you trash this, gain an Attack card.",+2?,,+2?,+,,,,"1?
*1",
Storeroom,Dark Ages,Action,,"+1 Buy
Discard any number of cards, then draw that many. Then discard any number of cards for + each.",,"-Y,+Y, -X",+1,+,,,,,
Survivors,Dark Ages,Action - Ruins,,Look at the top 2 cards of your deck. Discard them or put them back in any order.,,,,,,,,,
Urchin,Dark Ages,Action - Attack,,"+1 Card
+1 Action
Each other player discards down to 4 cards in hand.When you play another Attack card with this in play, you may first trash this, to gain a Mercenary from the Mercenary pile.",+1,+1,,,Self?,,,1?,
Vagrant,Dark Ages,Action,,"+1 Card
+1 Action
Reveal the top card of your deck. If it’s a Curse, Ruins, Shelter, or Victory card, put it into your hand.",+1,"+1, +1?",,,,,,,
Wandering Minstrel,Dark Ages,Action,,"+1 Card
+2 Actions
Reveal the top 3 cards of your deck. Put the Action cards back in any order and discard the rest.",+2,+1,,,,,,,
Advance,Empires,Event,,"You may trash an Action card from your hand. If you do, gain an Action card costing up to .",,,,,1?,,,1,
Annex,Empires,Event,,Look through your discard pile. Shuffle all but up to 5 cards from it into your deck. Gain a Duchy.,,,,,,,,1,(+3?)
Aqueduct,Empires,Landmark,,"When you gain a Treasure, move 1? from its pile to this. When you gain a Victory card, take the ? from this.Setup: Put 8? on the Silver and Gold piles.",,,,,,,,,+X
Archive,Empires,Action - Duration,,"+1 Action
Set aside the top 3 cards of your deck face down (you may look at them). Now and at the start of your next two turns, put one into your hand.",+1,"+1, N+1, NN+1",,,,,,,
Arena,Empires,Landmark,,"At the start of your Buy phase, you may discard an Action card. If you do, take 2? from here.Setup: Put 6? here per player.",,,,,,,,,+2
Bandit Fort,Empires,Landmark,,"When scoring, -2? for each Silver and each Gold you have.",,,,,,,,,-X
Banquet,Empires,Event,,Gain 2 Coppers and a non-Victory card costing up to .,,,,,,2 Self?,,3,
Basilica,Empires,Landmark,,"When you gain a card in your Buy phase, if you have or more, take 2? from here.Setup: Put 6? here per player.",,,,,,,,,+2
Baths,Empires,Landmark,,"When you end your turn without having gained a card, take 2? from here.Setup: Put 6? here per player.",,,,,,,,,+2
Battlefield,Empires,Landmark,,"When you gain a Victory card, take 2? from here.Setup: Put 6? here per player.",,,,,,,,,+2
Bustling Village,Empires,Action,,"+1 Card
+3 Actions
Look through your discard pile. You may reveal a Settlers from it and put it into your hand.",+3,"+1, +1?",,,,,,,
Capital,Empires,Treasure,,"+1 BuyWhen you discard this from play, take , and then you may pay off",,,+1,"+, N +",,,,,
Catapult,Empires,Action - Attack,,"+
Trash a card from your hand. If it costs or more, each other player gains a Curse. If it's a Treasure, each other player discards down to 3 cards in hand.",,,,+,1,,1?,,
Chariot Race,Empires,Action,,"+1 Action
Reveal the top card of your deck and put it into your hand. The player to your left reveals the top card of their deck. If your card costs more, + and +1?.",+1,+1,,+?,,,,,+1??
Charm,Empires,Treasure,,"Choose one: +1 Buy and +; or the next time you gain a card this turn, you may also gain a differently named card with the same cost.",,,+1?,+?,,,,1?,
City Quarter,Empires,Action,,"+2 Actions
Reveal your hand. +1 Card per Action card revealed.",+2,+X,,,,,,,
Colonnade,Empires,Landmark,,"When you gain an Action card in your Buy phase, if you have a copy of it in play, take 2? from here.Setup: Put 6? here per player.",,,,,,,,,+2
Conquest,Empires,Event,,Gain 2 Silvers. +1? per Silver you've gained this turn.,,,,,,,,2,+X
Crown,Empires,Action - Treasure,,"If it's your Action phase, you may play an Action from your hand twice. If it's your Buy phase, you may play a Treasure from your hand twice.",P2?,,,,,,,,
Crumbling Castle,Empires,Victory - Castle,,"1?When you gain or trash this, +1? and gain a Silver.",,,,,,,,*1,"1?
*+1"
Defiled Shrine,Empires,Landmark,,"When you gain an Action, move 1? from its pile to this.
 When you gain a Curse in your Buy phase, take the ? from this.Setup: Put 2? on each non-Gathering Action Supply pile.",,,,,,,,,+X
Delve,Empires,Event,,"+1 Buy
Gain a Silver.",,,+1,,,,,1,
Dominate,Empires,Event,,"Gain a Province. If you do, +9?.",,,,,,,,1,"+9?
(+6?)"
Donate,Empires,Event,,"At the start of your next turn, first, put your deck and discard pile into your hand, trash any number of cards from it, then shuffle the rest into your deck and draw 5 cards.",,,,,X,,,,
Emporium,Empires,Action,,"+1 Card
+1 Action
+When you gain this, if you have at least 5 Action cards in play, +2?.",+1,+1,,+,,,,,*+2
Encampment,Empires,Action,,"+2 Cards
+2 Actions
You may reveal a Gold or Plunder from your hand. If you do not, set this aside, and return it to its pile at the start of Clean-up.",+2,+2,,,Self?,,,,
Enchantress,Empires,Action - Attack - Duration,,"Until your next turn, the first time each other player plays an Action card on their turn, they get +1 Card and +1 Action instead of following its instructions.
At the start of your next turn, +2 Cards.",,N +2,,,,,,,
Engineer,Empires,Action,,"Gain a card costing up to . You may trash this. If you do, gain a card costing up to .",,,,,Self?,,,"1, 1?",
Farmers' Market,Empires,Action - Gathering,,"+1 Buy
If there are 4? or more on the Farmers' Market pile, take them and trash this. Otherwise, add 1? to the pile and then + per 1? on the pile.",,,+1,"+?, +?, +?, +?",Self?,,,,+4??
Fortune,Empires,Treasure,,"+1 Buy
When you play this, double your if you haven't yet this turn.When you gain this, gain a Gold per Gladiator you have in play.",,,+1,?,,,,,
Forum,Empires,Action,,"+3 Cards
+1 Action
Discard 2 cardsWhen you gain this, +1 Buy.",+1,"+3, -2",*+1,,,,,,
Fountain,Empires,Landmark,,"When scoring, 15? if you have at least 10 Coppers.",,,,,,,,,15??
Gladiator,Empires,Action,,"+
Reveal a card from your hand. The player to your left may reveal a copy from their hand. If they do not, + and trash a Gladiator from the Supply.",,,,"+, +?",,,,,
Grand Castle,Empires,Victory - Castle,,"5?When you gain this, reveal your hand. +1? per Victory card in your hand and/or in play.",,,,,,,,,"5?
*+X"
Groundskeeper,Empires,Action,,"+1 Card
+1 Action
This turn, when you gain a Victory card, +1?.",+1,+1,,,,,,,+X
Haunted Castle,Empires,Victory - Castle,,"2?When you gain this during your turn, gain a Gold, and each other player with 5 or more cards in hand puts 2 of them onto their deck.",,,,,,,,*1,2
Humble Castle,Empires,Treasure - Victory - Castle,,Worth 1? per Castle you have.,,,,+,,,,,X
Keep,Empires,Landmark,,"When scoring, 5? per differently named Treasure you have, that you have more copies of than each other player, or tied for most.",,,,,,,,,X
King's Castle,Empires,Victory - Castle,,Worth 2? per Castle you have.,,,,,,,,,X
Labyrinth,Empires,Landmark,,"When you gain a 2nd card in one of your turns, take 2? from here.Setup: Put 6? here per player.",,,,,,,,,+2
Legionary,Empires,Action - Attack,,"+
You may reveal a Gold from your hand. If you do, each other player discards down to 2 cards in hand, then draws a card.",,,,+,,,,,
Mountain Pass,Empires,Landmark,,"When you are the first player to gain a Province, each player bids once, up to , ending with you. High bidder gets +8? and takes the they bid.",,,,,,,,,8
Museum,Empires,Landmark,,"When scoring, 2? per differently named card you have.",,,,,,,,,X
Obelisk,Empires,Landmark,,"When scoring, 2? per card you have from the chosen pile.Setup: Choose a random Action Supply pile.",,,,,,,,,X
Opulent Castle,Empires,Action - Victory - Castle,,Discard any number of Victory cards. + per card discarded.3,,-X,,+x2,,,,,3
Orchard,Empires,Landmark,,"When scoring, 4? per differently named Action card you have 3 or more copies of.",,,,,,,,,X
Overlord,Empires,Action - Command,,"Play a non-Command Action card from the Supply costing up to , leaving it there.",,,,,,,,,
Palace,Empires,Landmark,,"When scoring, 3? per set you have of Copper - Silver - Gold.",,,,,,,,,X
Patrician,Empires,Action,,"+1 Card
+1 Action
Reveal the top card of your deck. If it costs or more, put it into your hand.",+1,"+1, +1?",,,,,,,
Plunder,Empires,Treasure,,+1,,,,+,,,,,+1
Ritual,Empires,Event,,"Gain a Curse. If you do, trash a card from your hand. +1? per it cost.",,,,,1,,,1,+X
Rocks,Empires,Treasure,,"When you gain or trash this, gain a Silver; if it is your Buy phase, put the Silver on your deck, otherwise put it into your hand.",,*+1,,+,,,,*1,
Royal Blacksmith,Empires,Action,,"+5 Cards
Reveal your hand; discard the Coppers.",,"+5,-X",,,,,,,
Sacrifice,Empires,Action,,"Trash a card from your hand. If it's an…
Action card, +2 Cards, +2 Actions
Treasure card, +
Victory card, +2",+2?,+2?,,+?,1,,,,+2??
Salt the Earth,Empires,Event,,"+1?
Trash a Victory card from the Supply.",,,,,1,,,,+1
Settlers,Empires,Action,,"+1 Card
+1 Action
Look through your discard pile. You may reveal a Copper from it and put it into your hand.",+1,+1,,+?,,,,,
Small Castle,Empires,Action - Victory - Castle,,"Trash this or a Castle from your hand. If you do, gain a Castle.2",,,,,1 or Self,,,1,2
Sprawling Castle,Empires,Victory - Castle,,"4?When you gain this, gain a Duchy or 3 Estates.",,,,,,,,*1-3,"4?
(*+3?)"
Tax,Empires,Event,,"Add to a Supply pile.Setup: Add to each Supply pile. When a player gains a card in their Buy phase, they take the from its pile.",,,,,,,,,
Temple,Empires,Action - Gathering,,"+1?
Trash from 1 to 3 differently named cards from your hand. Add 1? to the Temple pileWhen you gain this, take the ? from the Temple pile.",,,,,1-3,,,,"+1?
*+X"
Tomb,Empires,Landmark,,"When you trash a card, +1?.",,,,,,,,,+X
Tower,Empires,Landmark,,"When scoring, 1? per non-Victory card you have from an empty Supply pile.",,,,,,,,,X
Triumph,Empires,Event,,"Gain an Estate. If you did, +1? per card you've gained this turn.",,,,,,,,1,"(+1?)
+X"
Triumphal Arch,Empires,Landmark,,"When scoring, 3? per copy you have of the 2nd most common Action card among your cards (if it’s a tie, count either).",,,,,,,,,X
Villa,Empires,Action,,"+2 Actions
+1 Buy
+When you gain this, put it into your hand, +1 Action, and if it's your Buy phase return to your Action phase.","+2
*+1",*+Self,+1,+,,,,,
Wall,Empires,Landmark,,"When scoring, -1? per card you have after the first 15.",,,,,,,,,-X
Wedding,Empires,Event,,"+1?
Gain a Gold.",,,,,,,,1,+1
Wild Hunt,Empires,Action - Gathering,,"Choose one: +3 Cards and add 1? to the Wild Hunt pile; or gain an Estate, and if you do, take the ? from the pile.",,+3?,,,,,,1?,"(+1?)
+X"
Windfall,Empires,Event,,"If your deck and discard pile are empty, gain 3 Golds.",,,,,,,,3,
Wolf Den,Empires,Landmark,,"When scoring, -3? per card you have exactly one copy of.",,,,,,,,,-X
Advisor,Guilds,Action,,"+1 Action
Reveal the top 3 cards of your deck. The player to your left chooses one of them. Discard that card and put the rest into your hand.",+1,+2,,,,,,,
Baker,Guilds,Action,,"+1 Card
+1 Action
+1 CoffersSetup: Each player gets +1 Coffers.",+1,+1,,+1,,,,,
Butcher,Guilds,Action,,"+2 Coffers
You may trash a card from your hand, to gain a card, costing up to more than it per Coffers you spend.",,,,"+2, -X",1?,,1?,,
Candlestick Maker,Guilds,Action,,"+1 Action
+1 Buy
+1 Coffers",+1,,+1,+1,,,,,
Doctor,Guilds,Action,,"Name a card. Reveal the top 3 cards of your deck. Trash the matches. Put the rest back in any order.Overpay: Per overpaid, look at the top card of your deck; trash it, discard it, or put it back.",,,,,"0-3
*X",,,,
Herald,Guilds,Action,,"+1 Card
+1 Action
Reveal the top card of your deck. If it's an Action, play it.Overpay: Per overpaid, put any card from your discard pile onto your deck.","+1, P1?","+1, P1?",,,,,,,
Journeyman,Guilds,Action,,Name a card. Reveal cards from your deck until you reveal 3 cards without that name. Put those cards into your hand and discard the rest.,,+3,,,,,,,
Masterpiece,Guilds,Treasure,,Overpay: Gain a Silver per overpaid.,,,,+,,,,*X,
Merchant Guild,Guilds,Action,,"+1 Buy
+
At the end of your Buy phase this turn, +1 Coffers per card you gained in it.",,,+1,"+
*+X",,,,,
Plaza,Guilds,Action,,"+1 Card
+2 Actions
You may discard a Treasure for +1 Coffers.",+2,"+1, -1?",,+1?,,,,,
Soothsayer,Guilds,Action - Attack,,"Gain a Gold. Each other player gains a Curse, and if they did, draws a card.",,,,,,,1,1,
Stonemason,Guilds,Action,,Trash a card from your hand. Gain 2 cards each costing less than it.Overpay: Gain 2 Action cards each costing the amount overpaid.,,,,,1,,,"2
*2?",
Taxman,Guilds,Action - Attack,,You may trash a Treasure from your hand. Each other player with 5 or more cards in hand discards a copy of it (or reveals they can't). Gain a Treasure onto your deck costing up to more than it.,,,,,1?,,,1?,
Border Village,Hinterlands,Action,,"+1 Card
+2 ActionsWhen you gain this, gain a cheaper card.",+2,+1,,,,,,*1,
Cartographer,Hinterlands,Action,,"+1 Card
+1 Action
Look at the top 4 cards of your deck. Discard any number of them, then put the rest back in any order.",+1,+1,,,,,,,
Crossroads,Hinterlands,Action,,"Reveal your hand. +1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.",+3?,+X,,,,,,,
Develop,Hinterlands,Action,,"Trash a card from your hand. Gain two cards onto your deck, with one costing exactly more than it, and one costing exactly less than it, in either order.",,,,,1,,,2,
Farmland,Hinterlands,Victory,,"2?When you gain this, trash a card from your hand and gain a non-Farmland card costing exactly more than it.",,,,,*1,,,*1,2
Fool's Gold,Hinterlands,Treasure - Reaction,,"If this is the first time you played a Fool's Gold this turn, +, otherwise +.When another player gains a Province, you may trash this from your hand, to gain a Gold onto your deck.",,,,"+, +?",,,,,
Haggler,Hinterlands,Action,,"+
This turn, when you gain a card, if you bought it, gain a cheaper non-Victory card.",,,,+,,,,X,
Highway,Hinterlands,Action,,"+1 Card
+1 Action
This turn, cards cost less.",+1,+1,,R1,,,,,
Inn,Hinterlands,Action,,"+2 Cards
+2 Actions
Discard 2 cards.When you gain this, look through your discard pile, reveal any number of Action cards from it (which can include this), and shuffle them into your deck.",+2,"+2,-2",,,,,,,
Jack of All Trades,Hinterlands,Action,,Gain a Silver. Look at the top card of your deck; you may discard it. Draw until you have 5 cards in hand. You may trash a non-Treasure card from your hand.,,=5,,,1?,,,1,
Margrave,Hinterlands,Action - Attack,,"+3 Cards
+1 Buy
Each other player draws a card, then discards down to 3 cards in hand.",,+3,+1,,,,,,
Oasis,Hinterlands,Action,,"+1 Card
+1 Action
+
Discard a card.",+1,"+1,-1",,+,,,,,
Scheme,Hinterlands,Action,,"+1 Card
+1 Action
This turn, you may put one of your Action cards onto your deck when you discard it from play.",+1,+1,,,,,,,
Spice Merchant,Hinterlands,Action,,You may trash a Treasure from your hand to choose one: +2 Cards and +1 Action; or +1 Buy and +.,+1?,+2?,+1?,+?,1?,,,,
Stables,Hinterlands,Action,,"You may discard a Treasure, for +3 Cards and +1 Action.",+1?,"-1?,+3?",,,,,,,
Trader,Hinterlands,Action - Reaction,,"Trash a card from your hand. Gain a Silver per it costs.When you gain a card, you may reveal this from your hand, to exchange the card for a Silver.",,,,,1,,,X,
Tunnel,Hinterlands,Victory - Reaction,,"2?When you discard this other than during Clean-up, you may reveal it to gain a Gold.",,,,,,,,1?,2
Cache,"Hinterlands, 1E",Treasure,,"When you gain this, gain 2 Coppers.",,,,+,,,*2 Self?,,
Duchess,"Hinterlands, 1E",Action,,"+. Each player (including you) looks at the top card of their deck and may discard it.In games using this, when you gain a Duchy, you may gain a Duchess.",,,,+,,,,,
Embassy,"Hinterlands, 1E",Action,,"+5 Cards
Discard 3 cards.When you gain this, each other player gains a Silver.",,"+5,-3",,,,,,,
Ill-Gotten Gains,"Hinterlands, 1E",Treasure,,"You may gain a Copper to your hand.When you gain this, each other player gains a Curse.",,,,+,,,"Self?
*1",1?,
Mandarin,"Hinterlands, 1E",Action,,"+
Put a card from your hand onto your deck.When you gain this, put all Treasures you have in play onto your deck in any order.",,-1,,+,,,,,
Noble Brigand,"Hinterlands, 1E",Action - Attack,,"+
Each other player reveals the top 2 cards of their deck, trashes a revealed Silver or Gold you choose, discards the rest, and gains a Copper if they didn't reveal a Treasure. You gain the trashed cards.When you buy this, do its attack.",,,,+,,,"1?
*1?","X
*X",
Nomad Camp,"Hinterlands, 1E",Action,,"+1 Buy
+This is gained onto your deck (instead of to your discard pile).",,,+1,+,,,,,
Oracle,"Hinterlands, 1E",Action - Attack,,"Each player (including you) reveals the top 2 cards of their deck, and discards them or puts them back, your choice (they choose the order). Then, +2 Cards.",,+2,,,,,,,
Silk Road,"Hinterlands, 1E",Victory,,Worth 1? for every 4 Victory cards you have (round down).,,,,,,,,,X
Berserker,"Hinterlands, 2E",Action - Attack,,"Gain a card costing less than this. Each other player discards down to 3 cards in hand.When you gain this, if you have an Action in play, play this.",,,,,,,,"1, *1?",
Cauldron,"Hinterlands, 2E",Treasure - Attack,,"+1 Buy
The third time you gain an Action this turn, each other player gains a Curse.",,,1,+,,,1?,,
Guard Dog,"Hinterlands, 2E",Action - Reaction,,"+2 Cards
If you have 5 or fewer cards in hand, +2 Cards.When another player plays an Attack, you may first play this from your hand.",,+2 or +4,,,,,,,
Nomads,"Hinterlands, 2E",Action,,"+1 Buy
+When you gain or trash this, +.",,,1,"+
*+",,,,,
Souk,"Hinterlands, 2E",Action,,"+1 Buy
+
– per card in your hand (you can't go below ).When you gain this, trash up to 2 cards from your hand.",,,1,"+, -",*0-2,,,,
Trail,"Hinterlands, 2E",Action - Reaction,,"+1 Card
+1 ActionWhen you gain, trash, or discard this, other than in Clean-up, you may play it.","+1, +1?","+1, +1?",,,,,,,
Weaver,"Hinterlands, 2E",Action - Reaction,,"Gain two Silvers or a card costing up to .When you discard this other than in Clean-up, you may play it.",,,,,,,,"1-2, 1-2?",
Wheelwright,"Hinterlands, 2E",Action,,"+1 Card
+1 Action
You may discard a card to gain an Action card costing as much as it or less.",+1,+1,,,,,,1?,
Witch's Hut,"Hinterlands, 2E",Action - Attack,,"+4 Cards
Discard 2 cards, revealed. If they're both Actions, each other player gains a Curse.",,"+4, -2",,,,,1?,,
Baron,Intrigue,Action,,"+1 Buy
You may discard an Estate for +. If you don't, gain an Estate.",,,+1,+?,,,,1?,
Bridge,Intrigue,Action,,"+1 Buy
+
This turn, cards (everywhere) cost less, but not less than .",,,+1,"+, R1",,,,,
Conspirator,Intrigue,Action,,"+
If you’ve played 3 or more Actions this turn (counting this), +1 Card and +1 Action.",+1?,+1?,,+,,,,,
Courtyard,Intrigue,Action,,"+3 Cards
Put a card from your hand onto your deck.",,"+3,-1",,,,,,,
Duke,Intrigue,Victory,,Worth 1? per Duchy you have.,,,,,,,,,X
Harem Farm,Intrigue,Treasure - Victory,,2,,,,+,,,,,2
Ironworks,Intrigue,Action,,"Gain a card costing up to . If the gained card is an…
Action card, +1 Action
Treasure card, +
Victory card, +1 Card",+1?,+1?,,+?,,,,1,
Masquerade,Intrigue,Action,,"+2 Cards
Each player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.",,+2,,,1?,,,,
Mining Village,Intrigue,Action,,"+1 Card
+2 Actions
You may trash this for +.",+2,+1,,+?,Self?,,,,
Minion,Intrigue,Action - Attack,,"+1 Action
Choose one: +; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.",+1,"-X?,+4?",,+?,,,,,
Nobles,Intrigue,Action - Victory,,Choose one: +3 Cards; or +2 Actions.2,+2?,+3?,,,,,,,2
Pawn,Intrigue,Action,,Choose two: +1 Card; +1 Action; +1 Buy; +. The choices must be different.,+1?,+1?,+1?,+?,,,,,
Shanty Town,Intrigue,Action,,"+2 Actions
Reveal your hand. If you have no Action cards in hand, +2 Cards.",+2,+2?,,,,,,,
Steward,Intrigue,Action,,Choose one: +2 Cards; or +; or trash 2 cards from your hand.,,+2?,,+?,2?,,,,
Swindler,Intrigue,Action - Attack,,"+
Each other player trashes the top card of their deck and gains a card with the same cost that you choose.",,,,+,,,,,
